event,run,cluster_size
42581,1002,9,39.4518
42643,1002,4,38.1609
42658,1002,5,44.5566
42663,1002,5,39.9303
42672,1002,6,38.0116
42720,1002,5,40.2044
42901,1002,3,32.3779
42905,1002,7,38.3691
43005,1002,5,33.8835
43015,1002,6,33.7692
43034,1002,5,36.5521
43092,1002,5,34.5725
43136,1002,7,34.8764
43222,1002,4,33.9212
43267,1002,6,41.287
43304,1002,1,26.2984
43320,1002,5,33.577
43436,1002,6,34.4512
43496,1002,6,39.4526
43498,1002,4,35.1979
43537,1002,3,44.9098
43551,1002,5,43.2625
43784,1002,4,36.067
43790,1002,2,25.4822
43836,1002,8,45.634
43906,1002,2,25.401
43992,1002,7,32.2797
44033,1002,4,31.3885
44085,1002,3,32.8962
44170,1002,4,36.5445
44191,1002,6,43.8232
44197,1002,2,39.2233
44281,1002,7,41.3148
44404,1002,2,18.4409
44417,1002,4,33.6553
44421,1002,3,27.4957
44499,1002,3,34.6683
44829,1002,4,31.5756
44906,1002,3,23.392
44951,1002,3,39.9131
44954,1002,4,33.966
44958,1002,3,34.45
45049,1002,2,29.1069
45096,1002,11,36.1545
45455,1002,1,31.4847
45478,1002,4,34.8146
45488,1002,4,26.5914
45489,1002,5,11.2485
45502,1002,6,22.6766
45581,1002,5,40.8981
45708,1002,4,43.5281
45750,1002,3,38.6317
45880,1002,2,20.6115
45961,1002,4,35.4421
46012,1002,5,39.7294
46026,1002,5,42.7412
46037,1002,2,26.0849
46045,1002,5,35.7892
46085,1002,4,26.4172
46176,1002,1,10.4912
46212,1002,5,24.1409
46227,1002,6,26.1761
46257,1002,4,38.1843
46264,1002,4,41.7704
46312,1002,5,24.8025
46459,1002,2,32.0566
46606,1002,5,33.0861
46621,1002,3,44.8173
46630,1002,4,36.8387
46692,1002,4,34.6391
46799,1002,4,44.1985
46847,1002,6,37.1935
46943,1002,6,26.5437
46997,1002,5,32.828
47057,1002,5,39.1945
47065,1002,4,38.889
47160,1002,5,39.7051
47256,1002,5,41.1657
47446,1002,4,35.9902
